3025,-97,-245,-56
3136,-216,-158,-166
3240,291,296,-140
3344,93,84,-104
3447,-136,-126,-118
3552,-39,-263,-91
3655,-175,-522,-102
3760,40,7,42
3863,276,400,115
3966,94,328,51
4071,221,164,173
4174,139,-135,-11
4278,-172,-190,61
4382,236,133,235
4486,-60,-2,44
4589,205,46,11
4694,156,89,123
4797,146,201,121
4900,231,2,-104
5005,109,35,-51
5108,215,-133,-74
5212,2097,-216,304
5316,3074,5226,1812
5420,14953,230,4444
5524,8993,845,-6072
5627,-6211,7796,-1971
5732,-3391,-1780,1862
5836,2247,5025,-532
5942,1980,461,757
6045,-300,586,-91
6150,1774,-1486,2023
6253,2584,-1111,3291
6358,5528,-2240,10108
6461,8456,-1296,5579
6565,2992,2778,6475
6669,7708,-8270,3202
6773,4026,550,563
6877,949,1781,181
6981,1163,-2497,3071
7085,-982,1393,2561
7189,183,720,1031
7292,1898,-2960,1118
7397,1442,-68,-1529
7500,1693,1982,-1009
7605,-227,1041,-1127
7708,1008,878,-1385
7813,-425,332,163
7916,1117,-2291,364
8020,-700,-264,-300
8124,-681,1055,-905
8228,-3506,1873,-1253
8332,-5453,9827,-1922
8438,-6532,6791,1316
8542,-2484,3103,-1754
8646,-1064,1594,-338
8750,-520,477,-115
8854,-545,-901,751
8957,-1127,-93,-939
9061,-889,-563,353
9165,134,1570,726
9269,-293,35,149
9373,-82,-821,-835
9477,-491,-114,182
9580,-1371,-1822,23
9684,-1282,-2736,-198
9788,-965,2757,219
9892,-429,-221,501
9996,127,799,354
10100,-2245,-2381,-243
10204,360,-1121,-47
10308,1431,15,-212
10412,1665,-17,-283
10515,380,-968,122
10619,-336,121,-98
10723,-233,274,-316
10827,-412,-310,-429
10931,291,-469,-488
11037,330,-29,181
11141,216,598,-654
11244,196,-342,-140
11348,266,-169,226
11452,-247,-36,35
11556,-398,102,-18
11660,-39,-105,34
11763,-2,351,-311
11868,293,140,-254
11971,-460,176,-79
12076,-138,442,30
12179,196,389,-3
12282,199,81,-35
12387,-176,-318,130
12490,-529,-852,401
12595,-3361,-3334,2657
12698,-7275,-352,1199
12803,-6256,2117,1995
12906,-7281,-2531,857
13010,-3302,-3991,1436
13115,-2743,-4353,2221
13218,-1431,-2861,945
13323,-1470,-1240,-6
13426,-2312,-904,987
13532,-581,-484,525
13636,-436,-552,357
13740,-1322,853,-200
13844,-843,739,146
13947,-412,-347,-478
14052,-517,-1111,271
14155,-336,-20,-214
14260,-192,707,-53
14363,-541,600,154
14468,198,470,163
14571,64,158,126
14674,311,163,162
14779,-1,48,34
14882,-254,295,-171
14987,2357,3004,-1591
15090,5890,10209,-3680
15195,6985,5173,-1319
15298,9554,13335,-4214
15403,9276,5039,-3185
15507,657,504,-242
15610,-472,185,274
15714,840,860,-430
15818,644,781,-366
15922,-935,1664,-725
16026,362,-362,72
16132,-359,847,-543
16236,-860,3,50
16339,-732,-3815,569
16443,162,-1352,760
16547,642,945,-166
16651,-393,-634,156
16755,-1190,-271,-139
16859,47,-442,-137
16963,559,-900,-195
17067,599,-829,345
17171,95,123,257
17274,-533,128,120
17378,60,-360,-197
17482,1199,462,-755
17586,-111,1070,-585
17690,-714,430,-476
17794,-594,414,-105
17898,-337,41,277
18001,-309,379,-111
3437,-6614,-5859,-416
3543,-16571,-15035,-2309
3647,-7406,1476,-702
3750,-5702,-1477,-1438
3855,-5636,-1612,-644
3968,-8540,-1809,-2421
4071,-550,-2097,-223
4175,4594,3163,1062
4280,7965,6207,8185
4383,-1390,2129,11232
4488,-6352,-3184,11745
4592,1397,-932,10222
4696,10871,-2577,7819
4800,20001,-11306,6129
4904,12267,-4757,-3849
5009,2711,7993,-12376
5112,-7169,10858,-6118
5217,-12251,-4775,6236
5321,-20404,-19804,8588
5425,-1459,189,5957
5529,14909,-6844,5098
5634,17770,12845,-10172
5738,4522,-1084,-7374
5841,-8772,-6884,-7616
5946,528,-11940,-768
6050,4548,-6082,9021
6154,-489,-12219,-6917
6260,-12501,-5624,-10333
6364,-18539,6196,-16314
6468,-19012,5630,-18436
6573,-3635,3621,-221
6677,1763,-13133,11699
6780,7993,-3674,22704
6885,1746,2195,17920
6989,-5156,9014,-4867
7093,-3928,12035,-29355
7197,-6826,5694,-10815
7302,-11001,-2224,7699
7406,-9495,-2382,4032
7510,-2695,-1934,-5748
7614,-427,-9148,-7370
7718,7729,1749,-5994
7822,11224,3583,-5480
7926,18392,12594,-2543
8031,17731,25533,18682
8134,7513,4312,7141
8239,9022,-2121,-499
8343,-11350,-5579,-11635
8448,-17086,-1181,-7586
8553,-22391,-138,-6096
8657,-22975,-229,3025
8761,-21795,-17030,-312
8865,-2683,-17843,8406
8970,11933,-11266,-1444
9074,16484,1505,-1340
9178,20039,15789,3329
